fpl_name,fpl_code,fpl_id,us_name,us_id,us_team_id,team
Jack Grealish,114283,238,Jack Grealish,675,88,Man City
Jack Grealish,114283,238,Jack Grealish,675,72,Everton
Saša Lukić,212314,267,Sasa Lukic,1537,228,Fulham
Saša Lukić,212314,267,Sasa Lukic,1537,285,Ipswich Town
Andrew Robertson,122798,502,Andrew Robertson,1688,87,Liverpool
Andrew Robertson,122798,502,Andrew Robertson,1688,82,Spurs
Issa Diop,219924,259,Issa Diop,3203,228,Fulham
Issa Diop,219924,259,Issa Diop,3203,285,Ipswich Town
Harry Wilson,153682,260,Harry Wilson,5596,245,Leeds
Harry Wilson,153682,260,Harry Wilson,5596,228,Fulham
Youri Tielemans,166989,43,Youri Tielemans,5956,71,Aston Villa
Youri Tielemans,166989,43,Youri Tielemans,5956,89,Man Utd
Dwight McNeil,433154,241,Dwight McNeil,6756,72,Everton
Dwight McNeil,433154,241,Dwight McNeil,6756,78,Crystal Palace
Harvey Elliott,444884,383,Harvey Elliott,7546,87,Liverpool
Harvey Elliott,444884,383,Harvey Elliott,7546,71,Aston Villa
Marc Guéhi,209036,388,Marc Guehi,7603,88,Man City
Marc Guéhi,209036,388,Marc Guehi,7603,78,Crystal Palace
Taiwo Awoniyi,210156,492,Taiwo Awoniyi,7814,249,Nott'm Forest
Taiwo Awoniyi,210156,492,Taiwo Awoniyi,7814,294,Coventry City
Sandro Tonali,432422,455,Sandro Tonali,7958,86,Newcastle
Sandro Tonali,432422,455,Sandro Tonali,7958,82,Spurs
Evann Guessand,485337,42,Evann Guessand,8006,78,Crystal Palace
Evann Guessand,485337,42,Evann Guessand,8006,71,Aston Villa
Eberechi Eze,232413,14,Eberechi Eze,8706,78,Crystal Palace
Eberechi Eze,232413,14,Eberechi Eze,8706,83,Arsenal
Maxence Lacroix,437499,200,Maxence Lacroix,8853,80,Chelsea
Maxence Lacroix,437499,200,Maxence Lacroix,8853,78,Crystal Palace
Liam Delap,463034,167,Liam Delap,8868,80,Chelsea
Liam Delap,463034,167,Liam Delap,8868,249,Nott'm Forest
James Trafford,432720,385,James Trafford,9077,88,Man City
James Trafford,432720,385,James Trafford,9077,245,Leeds
Elliot Anderson,215379,481,Elliot Anderson,9154,249,Nott'm Forest
Elliot Anderson,215379,481,Elliot Anderson,9154,88,Man City
Frank Onyeka,428580,104,Frank Onyeka,9681,294,Coventry City
Frank Onyeka,428580,104,Frank Onyeka,9681,244,Brentford
Alejandro Garnacho Ferreyra,493105,160,Alejandro Garnacho,10552,80,Chelsea
Alejandro Garnacho Ferreyra,493105,160,Alejandro Garnacho,10552,71,Aston Villa
Brennan Johnson,242898,209,Brennan Johnson,10760,82,Spurs
Brennan Johnson,242898,209,Brennan Johnson,10760,78,Crystal Palace
Brennan Johnson,242898,209,Brennan Johnson,10760,72,Everton
Jan Paul van Hecke,469142,112,Jan Paul van Hecke,10807,82,Spurs
Jan Paul van Hecke,469142,112,Jan Paul van Hecke,10807,220,Brighton
Marcos Senesi Barón,221466,498,Marcos Senesi,10864,73,Bournemouth
Marcos Senesi Barón,221466,498,Marcos Senesi,10864,82,Spurs
Facundo Buonanotte,536916,128,Facundo Buonanotte,11362,245,Leeds
Facundo Buonanotte,536916,128,Facundo Buonanotte,11362,80,Chelsea
Antoine Semenyo,437730,397,Antoine Semenyo,11363,73,Bournemouth
Antoine Semenyo,437730,397,Antoine Semenyo,11363,88,Man City
Marc Guiu Paz,499309,168,Marc Guiu,11633,80,Chelsea
Marc Guiu Paz,499309,168,Marc Guiu,11633,77,Sunderland
Oscar Bobb,477555,264,Oscar Bobb,11903,228,Fulham
Oscar Bobb,477555,264,Oscar Bobb,11903,88,Man City
Morgan Rogers,244850,40,Morgan Rogers,12412,80,Chelsea
Morgan Rogers,244850,40,Morgan Rogers,12412,71,Aston Villa
Tyrique George,550615,242,Tyrique George,12573,72,Everton
Tyrique George,550615,242,Tyrique George,12573,80,Chelsea
