us_name,team,fpl_name,review_note
Alejandro Jiménez,Bournemouth,Álex Jiménez Sánchez,High confidence
Rayan,Bournemouth,Rayan Vitor Simplício Rocha,High confidence
Kevin,Fulham,Kevin Santos Lopes de Macedo,High confidence
João Palhinha,Spurs,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,High confidence
Chimuanya Ugochukwu,Burnley,Lesley Ugochukwu,High confidence
José Sá,Wolves,José Malheiro de Sá,High confidence
André,Wolves,André Trindade da Costa Neto,High confidence
Fernando López,Wolves,,No matching 2025/26 FPL player found
Rúben Dias,Man City,Rúben dos Santos Gato Alves Dias,High confidence
Bernardo Silva,Man City,Bernardo Mota Veiga de Carvalho e Silva,High confidence
Mathis Cherki,Man City,Rayan Cherki,Understat alias
Rodri,Man City,Rodrigo 'Rodri' Hernandez Cascante,High confidence
João Pedro,Chelsea,João Pedro Junqueira de Jesus,High confidence
Jota Silva,Nott'm Forest,João Pedro Ferreira da Silva,Likely identity; validate
Morato,Nott'm Forest,Felipe Rodrigues da Silva,Likely identity; validate
Matheus Cunha,Man Utd,Matheus Santos Carneiro da Cunha,High confidence
Gabriel,Arsenal,Gabriel dos Santos Magalhães,Likely identity; validate
