us_name,team,score,suggested_fpl_names,suggested_fpl_teams
Guemissongui Ouattara,Ipswich Town,0.5294117647058824,Dango Ouattara | Georginio Rutter | Abdoul Ouattara,Brentford | Brighton | Ipswich Town
Costinha,Brighton,0.45454545454545453,Ola Aina | Christian Walton | Josh King,Nott'm Forest | Ipswich Town | Fulham
António Silva,Bournemouth,0.48,Antoni Milambo | Anton Stach | Anthony Elanga,Brentford | Leeds | Newcastle
Vitor Reis,Man City,0.5555555555555556,Viktor Gyökeres | Pau Torres | Victor Torp,Arsenal | Aston Villa | Coventry City
Ibrahima Konaté,Liverpool,0.41379310344827586,Ibrahim Sangaré | Ibrahim Osman | Ian Maatsen,Nott'm Forest | Brighton | Aston Villa
Mohamed Salah,Liverpool,0.4166666666666667,Mohamed-Ali Cho | Mohammed Kudus | Mohamed Belloumi,Hull City | Spurs | Hull City
Hamed Junior Traore,Bournemouth,0.5517241379310345,Junior Kroupi | James Trafford | Thomas Meunier,Bournemouth | Leeds | Sunderland
Ben Winterburn,Bournemouth,0.38461538461538464,Sean Steur | Ben Wilson | Benjamin White,Newcastle | Coventry City | Arsenal
Donyell Malen,Aston Villa,0.45454545454545453,Anthony Elanga | Nobel Mendy | Darnell Furlong,Newcastle | Hull City | Ipswich Town
Kieran Trippier,Newcastle,0.4444444444444444,Kieran Dowell | Jurriën Timber | Kai Andrews,Hull City | Arsenal | Coventry City
Anthony Gordon,Newcastle,0.6153846153846154,Anthony Patterson | Anthony Elanga | Antonee Robinson,Sunderland | Newcastle | Fulham
Brajan Gruda,Brighton,0.43478260869565216,Ibrahim Sangaré | Brian Madjo | Jack Rudoni,Nott'm Forest | Aston Villa | Coventry City
James Milner,Brighton,0.47619047619047616,James Garner | James Hill | James Maddison,Everton | Bournemouth | Spurs
Raúl Jiménez,Fulham,0.43478260869565216,Arnaud Kalimuendo | Trai Hume | Aurèle Amenda,Nott'm Forest | Sunderland | Coventry City
Adama Traoré,Fulham,0.45454545454545453,Adam Wharton | Dara O'Shea | Adam Aznou,Crystal Palace | Ipswich Town | Everton
Eliezer Mayenda,Sunderland,0.4827586206896552,Daizen Maeda | Aurèle Amenda | Geovany Quenda,Ipswich Town | Coventry City | Chelsea
João Palhinha,Spurs,0.5185185185185185,Ola Aina | Jan Paul van Hecke | Josh King,Nott'm Forest | Spurs | Fulham
John Stones,Man City,0.5,Ben Johnson | Brennan Johnson | Jason Steele,Ipswich Town | Everton | Brighton
Bernardo Silva,Man City,0.45,Borna Sosa | Jay Dasilva | Emersonn Correia da Silva,Crystal Palace | Coventry City | Ipswich Town
Marc Cucurella,Chelsea,0.5833333333333334,Marc Guiu Paz | Marcus Bettinelli | Marc Guéhi,Chelsea | Man City | Man City
Andrey Santos,Chelsea,0.45454545454545453,Andrey Nascimento dos Santos | Yéremy Pino Santos | Andrés García,Man Utd | Crystal Palace | Aston Villa
Jota Silva,Nott'm Forest,0.5,Josh Dasilva | Jay Dasilva | James Hill,Brentford | Coventry City | Bournemouth
Casemiro,Man Utd,0.4444444444444444,Aaron Anselmino | Anis Mehmeti | Lucas Herrington,Chelsea | Ipswich Town | Hull City
Idrissa Gueye,Everton,0.5,Ilia Gruev | Ibrahim Sangaré | Ross Barkley,Leeds | Nott'm Forest | Aston Villa
Nathan Aké,Man City,0.48,Nathan Patterson | Tanaka Ao | Ethan Nwaneri,Everton | Leeds | Arsenal
Patrick Roberts,Sunderland,0.46153846153846156,Andrew Robertson | Patrick Dorgu | Pau Torres,Spurs | Man Utd | Aston Villa
Leandro Trossard,Arsenal,0.43243243243243246,Sandro Tonali | Alexander Isak | Pedro Porro Sauceda,Spurs | Liverpool | Spurs
Sam Byram,Leeds,0.4,Tammy Abraham | Óscar Zambrano | Jacob Ramsey,Aston Villa | Hull City | Newcastle
Odsonne Edouard,Crystal Palace,0.35714285714285715,Joe Gelhardt | Rodrigo Bentancur | Promise David,Hull City | Spurs | Brighton
